guid, age, birthday, signup_date,account_type
a18347e0-3dcc-537e-9f0e-b24a79c37cfe,54,25/03/1967,23/10/2045,
146f8211-4242-515c-9490-ad28da76ddef,62,18/01/1987,22/06/1994,google
2ef7211e-875e-51b9-853e-4995e3d4d77c,38,16/12/1974,08/07/2068,other
6cea55b8-1147-537e-a639-184f94c46904,49,26/01/1959,02/02/1965,other
87cc272b-3607-5003-a028-c87aadc2b2f7,35,08/04/1974,11/02/1926,facebook
9bb4ae35-76ed-5669-81a6-87f6f5efaf9b,43,18/02/1977,20/04/2046,other
1af4db67-8278-5aed-b26d-84f6c351df72,63,21/04/1977,08/04/2048,facebook
46c2797f-6422-529f-9cf8-ddcf6fa51ba6,42,23/04/1974,29/12/1904,google
3c02ea0a-4f4a-54ed-be90-ffb5395f293e,28,16/09/1956,08/09/2066,google
12f17b0d-756d-5d6b-9238-29266ef241aa,56,26/12/1965,13/05/2026,facebook
dffc29fe-faef-55c9-86e2-72022d69bf9a,51,25/02/1984,08/03/1954,
8f931b01-7c58-5db4-b94a-661b32101fcc,63,31/03/1963,12/09/1956,
1ae4fda3-e9a7-562f-aab6-b3620f47099e,40,15/11/1963,27/03/1952,google
8b7655d4-6976-5cd9-baf1-78b7b8268710,40,17/11/1999,15/03/1982,google
12f28a29-8b88-5eb8-a95f-5466e6f52825,22,06/06/1984,25/05/2041,facebook
edd1e388-63b0-5b9d-ab89-0c4a873fa97c,20,30/06/1977,22/09/2058,facebook
c7b6e64f-bb0b-574c-92d1-b24a18c24832,34,02/06/1985,14/11/1937,
48ffe3b0-b1fb-520c-9c59-152ec9b514ff,22,22/03/1959,27/03/1968,google
ae857932-02a0-50d9-b780-4ecb71e15142,61,12/11/1997,06/09/2003,facebook
ae857932-02a0-50d9-b780-4ecb71e15142,61,12/11/1997,06/09/2003,google
a12300ab-0767-5274-8363-52886bcc485a,24,06/10/2002,04/05/1946,other
7e4a0c94-7cde-5251-a1d3-23f04936c460,43,26/05/1971,01/06/2009,
172afe64-dec9-508a-a42c-6555644ab45f,25,17/01/1964,02/07/2009,other
d5bc8f9c-50a4-5b15-88cf-9f599a5edee7,55,22/03/1970,11/03/1955,other
74f4c42d-54b9-5a0c-a889-cc856766a3f2,63,23/07/1997,02/05/2059,google
45a42163-9b22-51b6-b861-ac52db1644d6,20,04/09/1973,21/05/2025,
e81c3718-73a7-5e4d-b0af-35184c19e56d,53,17/11/1966,20/08/1942,
83eb0ee6-6aae-5527-ab70-2e66260fb46d,18,16/02/1964,11/02/1919,google
4538860e-b107-543c-8cac-101c9b4a2e61,44,03/06/1959,25/07/2022,other
b762c93c-7a81-5f2a-8f4e-27e779e95405,61,25/01/1961,28/12/1963,other
7981538c-29af-5fe0-87e8-c061044177c9,30,23/06/1987,20/01/1942,google
14dbfe8d-9ae5-557e-8643-74ec77490c2e,54,27/11/1969,24/07/1914,
13de30c2-bdd3-5350-a768-f966363fc826,48,04/11/1994,21/02/2015,other
d56e32e5-5917-543f-93b8-8198a62e5652,63,22/07/1965,20/06/2042,other
8316e4d8-1abc-5b18-b4f9-3019aed11011,65,16/11/2002,01/11/1985,facebook
